student_id,entry_term,college,major,stem,first_gen,pell_eligible,works_20plus_hrs,hs_gpa,fall25_credits_attempted,fall25_credits_earned,fall25_gpa,gateway_math_grade,lms_logins_first4wks,advising_visits_ay25,spring26_gpa,cumulative_gpa,retained_fall26,class_level_fall26
LU25036,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.06,14,14,3.65,B,116,1,4.0,3.83,1,Sophomore
LU25037,Fall 2025,Arts & Sciences,Psychology,0,0,0,1,3.49,12,12,2.88,,50,3,2.66,2.77,1,Sophomore
LU25038,Fall 2025,Nursing & Health,Nursing,1,1,0,0,3.43,16,13,2.04,D,73,0,1.5,1.77,0,Not enrolled
LU25039,Fall 2025,Arts & Sciences,Psychology,0,0,0,0,3.6,13,13,2.53,F,123,2,2.31,2.42,1,Sophomore
LU25040,Fall 2025,Arts & Sciences,Biology,1,0,0,1,3.18,16,16,3.29,,60,2,3.33,3.31,1,Sophomore
LU25041,Fall 2025,Education,Secondary Education,0,0,1,0,2.97,13,10,2.2,,110,2,,2.2,0,Not enrolled
LU25042,Fall 2025,Engineering,Mechanical Engineering,1,0,1,0,3.1,15,15,3.66,B,151,1,3.61,3.63,1,Sophomore
LU25043,Fall 2025,Nursing & Health,Kinesiology,1,1,1,0,3.25,13,13,2.93,C,47,1,2.98,2.95,1,Sophomore
LU25044,Fall 2025,Business,Finance,0,0,0,0,3.43,16,16,3.06,B,110,1,3.07,3.07,1,Sophomore
LU25045,Fall 2025,Nursing & Health,Kinesiology,1,0,0,0,3.71,16,16,2.69,C,124,1,1.26,1.98,0,Not enrolled
LU25046,Fall 2025,Arts & Sciences,Political Science,0,0,0,1,3.82,16,16,2.87,,61,2,,2.87,0,Not enrolled
LU25047,Fall 2025,Engineering,Computer Science,1,0,0,0,3.12,16,16,3.16,B,81,1,3.38,3.27,1,Sophomore
LU25048,Fall 2025,Engineering,Mechanical Engineering,1,0,0,1,4.0,15,15,3.08,C,115,3,2.88,2.98,1,Sophomore
LU25049,Fall 2025,Education,Elementary Education,0,0,0,0,3.45,15,15,2.26,,52,0,2.2,2.23,1,Sophomore
LU25050,Fall 2025,Arts & Sciences,Chemistry,1,0,0,1,2.86,12,8,1.6,D,54,6,0.86,1.23,0,Not enrolled
LU25051,Fall 2025,Business,Finance,0,0,0,0,3.21,13,13,2.72,B,37,1,2.06,2.39,1,Sophomore
LU25052,Fall 2025,Arts & Sciences,English,0,0,0,0,3.8,12,12,2.92,,91,0,2.3,2.61,1,Sophomore
LU25053,Fall 2025,Engineering,Computer Science,1,1,1,1,3.2,12,9,1.93,F,123,4,2.25,2.09,0,Not enrolled
LU25054,Fall 2025,Arts & Sciences,Chemistry,1,1,0,0,3.32,13,9,2.08,B,88,1,1.89,1.99,0,Not enrolled
LU25055,Fall 2025,Arts & Sciences,English,0,0,0,0,3.34,15,15,3.53,B,106,2,,3.53,0,Not enrolled
LU25056,Fall 2025,Nursing & Health,Public Health,0,0,0,1,3.31,12,12,2.34,C,82,3,,2.34,0,Not enrolled
LU25057,Fall 2025,Arts & Sciences,Political Science,0,0,1,1,3.52,16,4,0.62,D,78,1,,0.62,0,Not enrolled
LU25058,Fall 2025,Undeclared,Undeclared,0,1,0,0,3.44,14,14,2.79,C,77,1,2.74,2.76,1,Sophomore
LU25059,Fall 2025,Business,Marketing,0,0,0,0,3.64,14,14,3.75,B,165,0,3.71,3.73,1,Sophomore
LU25060,Fall 2025,Business,Management,0,0,1,0,2.94,15,15,3.17,C,129,0,3.44,3.31,1,Sophomore
LU25061,Fall 2025,Business,Accounting,0,0,0,1,3.68,16,16,2.0,,45,2,1.96,1.98,1,Sophomore
LU25062,Fall 2025,Business,Accounting,0,0,1,1,3.31,14,14,2.58,C,84,1,2.26,2.42,1,Sophomore
LU25063,Fall 2025,Arts & Sciences,Chemistry,1,0,1,0,2.87,16,13,1.53,W,79,4,,1.53,0,Not enrolled
LU25064,Fall 2025,Engineering,Civil Engineering,1,1,0,1,3.65,12,12,2.62,C,83,0,2.59,2.61,1,Sophomore
LU25065,Fall 2025,Arts & Sciences,Economics,0,0,0,1,3.45,17,17,2.61,,75,2,3.02,2.81,1,Sophomore
LU25066,Fall 2025,Engineering,Civil Engineering,1,1,1,1,3.41,16,16,2.66,D,72,2,2.74,2.7,1,Sophomore
LU25067,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.03,15,15,3.05,,108,1,3.07,3.06,1,Sophomore
LU25068,Fall 2025,Undeclared,Undeclared,0,0,0,0,3.65,13,13,3.37,,92,4,3.43,3.4,1,Sophomore
LU25069,Fall 2025,Arts & Sciences,Biology,1,0,0,0,3.84,16,16,3.5,A,99,0,3.59,3.55,1,Sophomore
LU25070,Fall 2025,Business,Accounting,0,0,0,0,2.72,17,17,2.21,F,98,1,,2.21,0,Not enrolled
LU25071,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.3,15,15,1.59,F,107,5,1.43,1.51,0,Not enrolled
LU25072,Fall 2025,Education,Elementary Education,0,0,1,0,3.28,13,13,2.54,,97,0,2.67,2.6,1,Sophomore
LU25073,Fall 2025,Business,Management,0,0,0,0,3.46,14,14,3.41,,98,3,3.36,3.38,1,Sophomore
LU25074,Fall 2025,Arts & Sciences,Psychology,0,0,0,1,3.19,15,15,3.39,A,72,1,3.54,3.47,1,Sophomore
LU25075,Fall 2025,Nursing & Health,Public Health,0,0,0,0,3.91,14,14,3.94,A,85,1,4.0,3.97,1,Sophomore
LU25076,Fall 2025,Undeclared,Undeclared,0,1,1,1,3.82,17,17,2.77,F,26,1,2.9,2.83,1,Sophomore
LU25077,Fall 2025,Education,Secondary Education,0,1,1,0,3.34,16,16,2.23,W,109,0,2.57,2.4,1,Sophomore
LU25078,Fall 2025,Business,Marketing,0,1,0,0,3.06,15,15,2.82,B,86,2,2.96,2.89,1,Sophomore
LU25079,Fall 2025,Arts & Sciences,English,0,1,1,1,3.67,13,10,2.11,,91,4,1.67,1.89,1,Freshman
LU25080,Fall 2025,Arts & Sciences,Chemistry,1,0,1,1,3.53,15,15,2.98,B,56,1,3.21,3.09,1,Sophomore
LU25081,Fall 2025,Education,Elementary Education,0,0,0,0,3.4,15,12,2.07,,123,0,,2.07,0,Not enrolled
LU25082,Fall 2025,Engineering,Civil Engineering,1,0,0,0,3.72,14,14,2.32,W,68,2,2.39,2.35,1,Sophomore
LU25083,Fall 2025,Arts & Sciences,Psychology,0,1,0,1,3.68,16,16,3.06,,135,1,3.37,3.22,1,Sophomore
LU25084,Fall 2025,Education,Secondary Education,0,0,0,0,3.78,15,15,2.79,,103,1,3.54,3.17,1,Sophomore
LU25085,Fall 2025,Business,Management,0,1,1,1,2.98,13,13,3.08,,87,2,3.69,3.38,1,Sophomore
LU25086,Fall 2025,Business,Accounting,0,1,1,0,3.09,15,15,2.24,B,44,4,1.75,1.99,1,Sophomore
LU25087,Fall 2025,Arts & Sciences,Chemistry,1,1,0,0,3.57,13,13,2.31,W,91,2,1.75,2.03,0,Not enrolled
LU25088,Fall 2025,Engineering,Mechanical Engineering,1,0,0,1,3.46,15,15,3.35,B,56,0,3.32,3.34,1,Sophomore
LU25089,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,3.39,15,15,3.15,C,73,1,3.28,3.22,1,Sophomore
LU25090,Fall 2025,Arts & Sciences,Political Science,0,0,1,1,3.84,16,16,3.61,,55,1,3.43,3.52,1,Sophomore
LU25091,Fall 2025,Education,Elementary Education,0,1,1,1,4.0,14,14,2.34,,5,2,2.06,2.2,1,Sophomore
LU25092,Fall 2025,Engineering,Civil Engineering,1,1,1,0,3.74,15,15,1.93,W,55,0,1.96,1.94,1,Sophomore
LU25093,Fall 2025,Engineering,Mechanical Engineering,1,0,0,0,3.82,14,14,2.38,,94,1,2.28,2.33,1,Sophomore
LU25094,Fall 2025,Arts & Sciences,Political Science,0,0,0,0,3.79,12,12,3.58,,87,2,4.0,3.79,1,Sophomore
LU25095,Fall 2025,Nursing & Health,Nursing,1,0,0,0,3.08,14,2,1.07,W,27,1,,1.07,0,Not enrolled
LU25096,Fall 2025,Arts & Sciences,Chemistry,1,0,0,1,3.29,14,14,2.68,B,75,2,2.49,2.59,1,Sophomore
LU25097,Fall 2025,Arts & Sciences,Psychology,0,0,0,0,2.54,15,15,2.21,W,141,1,,2.21,0,Not enrolled
LU25098,Fall 2025,Arts & Sciences,English,0,0,1,1,3.57,15,15,2.45,D,75,0,2.8,2.63,1,Sophomore
LU25099,Fall 2025,Arts & Sciences,Chemistry,1,0,1,0,3.65,12,12,3.4,B,158,2,3.93,3.67,1,Sophomore
LU25100,Fall 2025,Undeclared,Undeclared,0,0,0,0,3.87,15,12,2.13,,86,0,2.44,2.28,1,Sophomore
LU25101,Fall 2025,Business,Accounting,0,0,0,0,2.86,16,16,2.48,C,50,1,2.92,2.7,1,Sophomore
LU25102,Fall 2025,Engineering,Electrical Engineering,1,0,0,0,3.79,16,16,4.0,B,57,1,3.49,3.74,1,Sophomore
LU25103,Fall 2025,Engineering,Computer Science,1,1,1,1,3.36,15,15,2.37,,85,2,1.91,2.14,1,Sophomore
LU25104,Fall 2025,Education,Secondary Education,0,0,0,0,2.86,13,9,1.83,,112,2,,1.83,0,Not enrolled
LU25105,Fall 2025,Arts & Sciences,Political Science,0,1,0,1,3.48,15,15,3.03,,24,2,3.56,3.3,1,Sophomore
LU25106,Fall 2025,Business,Marketing,0,0,1,0,3.46,15,15,2.35,C,116,0,1.78,2.06,0,Not enrolled
LU25107,Fall 2025,Business,Marketing,0,1,0,0,3.4,15,15,2.24,D,132,0,2.31,2.28,1,Sophomore
LU25108,Fall 2025,Arts & Sciences,Economics,0,0,1,1,3.47,14,14,3.94,A,45,3,4.0,3.97,1,Sophomore
LU25109,Fall 2025,Engineering,Electrical Engineering,1,1,0,0,3.74,12,12,2.58,C,65,0,2.25,2.42,0,Not enrolled
LU25110,Fall 2025,Nursing & Health,Kinesiology,1,0,0,0,3.62,16,16,2.74,B,10,1,2.84,2.79,1,Sophomore
LU25111,Fall 2025,Education,Secondary Education,0,1,0,0,3.05,13,13,3.26,,105,2,3.55,3.4,1,Sophomore
LU25112,Fall 2025,Arts & Sciences,Chemistry,1,1,1,0,3.46,14,14,4.0,B,74,1,4.0,4.0,1,Sophomore
LU25113,Fall 2025,Education,Elementary Education,0,0,0,1,3.34,16,16,4.0,,116,2,3.72,3.86,1,Sophomore
LU25114,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,3.42,15,15,2.92,B,124,1,2.48,2.7,1,Sophomore
LU25115,Fall 2025,Nursing & Health,Public Health,0,0,0,0,4.0,15,15,4.0,A,120,0,4.0,4.0,1,Sophomore
LU25116,Fall 2025,Nursing & Health,Nursing,1,1,0,0,4.0,15,15,2.82,B,78,0,2.79,2.81,1,Sophomore
LU25117,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.78,12,12,3.82,A,144,1,4.0,3.91,1,Sophomore
LU25118,Fall 2025,Engineering,Electrical Engineering,1,0,0,1,3.36,16,16,2.38,,33,1,2.8,2.59,1,Sophomore
LU25119,Fall 2025,Nursing & Health,Public Health,0,0,1,1,3.44,15,15,3.56,,95,2,3.58,3.57,1,Sophomore
LU25120,Fall 2025,Arts & Sciences,Chemistry,1,1,1,1,3.08,15,15,2.27,C,74,1,2.31,2.29,1,Sophomore
LU25121,Fall 2025,Business,Marketing,0,0,0,0,3.03,14,14,1.42,F,68,0,1.54,1.48,0,Not enrolled
LU25122,Fall 2025,Nursing & Health,Public Health,0,1,1,1,3.98,14,14,2.66,C,53,3,3.15,2.91,1,Sophomore
LU25123,Fall 2025,Engineering,Electrical Engineering,1,0,0,1,2.84,17,17,3.05,C,95,2,2.72,2.89,1,Sophomore
LU25124,Fall 2025,Nursing & Health,Nursing,1,1,0,0,3.92,15,15,2.66,,53,1,2.01,2.34,1,Sophomore
LU25125,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,3.58,16,16,3.78,B,70,5,3.8,3.79,1,Sophomore
LU25126,Fall 2025,Arts & Sciences,Political Science,0,1,0,0,3.29,12,12,2.68,,84,0,2.71,2.69,1,Sophomore
LU25127,Fall 2025,Arts & Sciences,Biology,1,0,1,1,3.08,17,17,2.32,B,55,0,2.75,2.53,1,Sophomore
LU25128,Fall 2025,Arts & Sciences,Economics,0,1,1,1,3.07,15,15,2.41,C,92,4,2.56,2.48,1,Sophomore
LU25129,Fall 2025,Arts & Sciences,Political Science,0,0,0,0,3.8,16,16,3.24,,104,1,3.83,3.54,1,Sophomore
LU25130,Fall 2025,Undeclared,Undeclared,0,0,1,0,3.59,12,12,3.29,C,132,2,3.33,3.31,1,Sophomore
LU25131,Fall 2025,Business,Finance,0,0,0,0,3.37,15,12,1.7,D,97,2,1.79,1.74,1,Sophomore
LU25132,Fall 2025,Arts & Sciences,English,0,0,0,1,3.68,15,15,3.07,,105,1,3.19,3.13,1,Sophomore
LU25133,Fall 2025,Arts & Sciences,Economics,0,1,0,1,3.96,16,16,2.8,,39,0,3.1,2.95,1,Sophomore
LU25134,Fall 2025,Undeclared,Undeclared,0,0,0,0,3.6,13,13,3.58,C,67,0,3.61,3.6,1,Sophomore
LU25135,Fall 2025,Engineering,Computer Science,1,1,1,0,3.95,17,17,2.9,,56,1,2.78,2.84,1,Sophomore
LU25136,Fall 2025,Undeclared,Undeclared,0,0,1,0,3.57,13,13,3.82,B,86,1,4.0,3.91,1,Sophomore
LU25137,Fall 2025,Engineering,Civil Engineering,1,1,0,1,3.63,12,12,2.53,C,107,1,2.85,2.69,1,Sophomore
LU25138,Fall 2025,Engineering,Mechanical Engineering,1,1,0,1,3.26,14,14,2.08,W,79,5,,2.08,0,Not enrolled
LU25139,Fall 2025,Education,Secondary Education,0,1,1,0,3.76,14,14,1.82,D,73,0,1.53,1.67,1,Sophomore
LU25140,Fall 2025,Nursing & Health,Public Health,0,0,0,0,4.0,16,16,2.82,,109,0,2.99,2.9,1,Sophomore
LU25141,Fall 2025,Business,Accounting,0,0,0,1,2.9,15,15,2.42,C,28,0,2.38,2.4,0,Not enrolled
LU25142,Fall 2025,Engineering,Mechanical Engineering,1,0,0,0,3.36,16,16,2.29,,87,3,1.99,2.14,1,Sophomore
LU25143,Fall 2025,Education,Elementary Education,0,0,1,0,3.87,14,14,4.0,B,138,0,4.0,4.0,1,Sophomore
LU25144,Fall 2025,Engineering,Civil Engineering,1,1,1,1,3.38,16,16,2.87,C,87,0,2.84,2.86,1,Sophomore
LU25145,Fall 2025,Education,Elementary Education,0,0,0,0,3.05,14,14,3.13,B,133,1,3.32,3.22,1,Sophomore
LU25146,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,2.95,15,8,1.44,F,85,1,,1.44,0,Not enrolled
LU25147,Fall 2025,Engineering,Computer Science,1,1,1,1,2.87,15,15,2.22,C,92,2,2.18,2.2,1,Sophomore
LU25148,Fall 2025,Engineering,Mechanical Engineering,1,1,1,1,3.72,15,15,3.17,B,81,2,2.76,2.96,0,Not enrolled
LU25149,Fall 2025,Undeclared,Undeclared,0,1,1,0,2.96,12,12,2.19,,104,2,2.59,2.39,1,Sophomore
LU25150,Fall 2025,Arts & Sciences,Economics,0,0,0,0,3.35,13,13,3.13,,83,2,3.0,3.07,1,Sophomore
LU25151,Fall 2025,Nursing & Health,Kinesiology,1,1,0,0,3.35,15,15,4.0,A,90,2,4.0,4.0,1,Sophomore
LU25152,Fall 2025,Business,Finance,0,1,0,0,3.78,16,16,2.89,C,96,0,3.32,3.1,1,Sophomore
LU25153,Fall 2025,Business,Marketing,0,0,0,1,4.0,15,15,2.92,B,100,1,3.32,3.12,1,Sophomore
LU25154,Fall 2025,Business,Accounting,0,0,0,1,3.8,13,13,3.78,A,92,0,3.69,3.74,1,Sophomore
LU25155,Fall 2025,Undeclared,Undeclared,0,1,1,1,3.47,15,15,2.74,W,5,1,3.59,3.17,1,Sophomore
LU25156,Fall 2025,Arts & Sciences,Psychology,0,0,1,1,2.76,14,14,2.42,,93,2,2.14,2.28,1,Sophomore
LU25157,Fall 2025,Engineering,Computer Science,1,0,1,1,2.97,13,13,1.58,D,109,0,1.35,1.47,0,Not enrolled
LU25158,Fall 2025,Arts & Sciences,Economics,0,0,0,1,3.43,13,13,2.29,W,67,3,2.47,2.38,1,Sophomore
LU25159,Fall 2025,Arts & Sciences,English,0,1,0,0,3.82,15,15,4.0,,80,1,4.0,4.0,1,Sophomore
LU25160,Fall 2025,Arts & Sciences,Biology,1,1,1,1,3.68,15,15,2.25,D,19,2,1.87,2.06,1,Sophomore
LU25161,Fall 2025,Education,Secondary Education,0,0,0,1,3.74,12,12,3.25,,55,0,3.37,3.31,1,Sophomore
LU25162,Fall 2025,Nursing & Health,Kinesiology,1,0,0,0,3.46,14,14,4.0,A,94,0,3.99,4.0,1,Sophomore
LU25163,Fall 2025,Arts & Sciences,Economics,0,1,1,0,3.11,13,13,1.67,,54,2,,1.67,0,Not enrolled
LU25164,Fall 2025,Business,Marketing,0,0,0,1,3.6,12,12,3.16,B,53,0,3.65,3.4,1,Sophomore
LU25165,Fall 2025,Engineering,Electrical Engineering,1,0,0,0,3.34,14,14,2.34,C,144,0,2.15,2.25,1,Sophomore
LU25166,Fall 2025,Business,Marketing,0,0,0,0,3.74,16,16,2.49,C,60,0,2.18,2.33,1,Sophomore
LU25167,Fall 2025,Business,Marketing,0,0,0,1,3.05,15,15,2.07,D,38,1,1.97,2.02,1,Sophomore
LU25168,Fall 2025,Arts & Sciences,Biology,1,1,1,1,3.21,16,16,2.37,W,106,0,1.36,1.86,0,Not enrolled
LU25169,Fall 2025,Undeclared,Undeclared,0,1,0,0,3.54,17,17,3.15,,117,0,3.44,3.29,1,Sophomore
LU25170,Fall 2025,Engineering,Electrical Engineering,1,1,1,0,3.52,15,15,2.83,D,74,2,2.48,2.66,1,Sophomore
LU25171,Fall 2025,Business,Finance,0,1,1,0,3.53,15,15,2.67,B,84,0,2.23,2.45,1,Sophomore
LU25172,Fall 2025,Business,Accounting,0,1,0,1,3.2,16,16,2.91,C,77,0,3.34,3.12,1,Sophomore
LU25173,Fall 2025,Arts & Sciences,English,0,0,0,0,3.64,14,14,3.93,,136,0,4.0,3.96,1,Sophomore
LU25174,Fall 2025,Arts & Sciences,English,0,1,0,1,3.1,14,14,2.23,C,52,2,1.78,2.01,1,Sophomore
LU25175,Fall 2025,Engineering,Mechanical Engineering,1,1,0,1,3.42,14,14,2.15,C,17,3,2.27,2.21,1,Sophomore
LU25176,Fall 2025,Nursing & Health,Nursing,1,0,0,0,3.67,15,15,2.72,C,103,3,2.37,2.55,1,Sophomore
LU25177,Fall 2025,Nursing & Health,Nursing,1,1,0,0,3.67,16,16,2.9,B,88,1,3.37,3.13,1,Sophomore
LU25178,Fall 2025,Nursing & Health,Nursing,1,0,1,0,3.34,14,14,3.19,B,103,3,3.16,3.17,1,Sophomore
LU25179,Fall 2025,Arts & Sciences,Biology,1,1,1,1,4.0,15,15,2.41,C,83,1,1.99,2.2,1,Sophomore
LU25180,Fall 2025,Education,Elementary Education,0,1,0,1,3.22,15,15,3.37,,57,2,3.55,3.46,1,Sophomore
LU25181,Fall 2025,Nursing & Health,Nursing,1,1,1,0,3.87,16,16,3.52,A,88,1,3.06,3.29,1,Sophomore
LU25182,Fall 2025,Education,Secondary Education,0,0,1,1,3.93,16,16,3.47,B,97,1,3.64,3.55,1,Sophomore
LU25183,Fall 2025,Engineering,Mechanical Engineering,1,0,1,1,3.2,15,15,2.79,,64,0,3.07,2.93,1,Sophomore
LU25184,Fall 2025,Education,Elementary Education,0,0,0,0,3.47,15,15,2.69,F,104,2,2.57,2.63,1,Sophomore
LU25185,Fall 2025,Arts & Sciences,English,0,1,0,0,4.0,15,15,3.69,,79,1,3.43,3.56,1,Sophomore
LU25186,Fall 2025,Arts & Sciences,English,0,1,0,1,3.94,15,15,4.0,A,23,0,4.0,4.0,1,Sophomore
LU25187,Fall 2025,Arts & Sciences,Mathematics,1,0,1,1,3.48,14,11,1.55,F,48,1,1.48,1.52,1,Freshman
LU25188,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,3.51,15,11,1.34,W,34,1,0.89,1.12,0,Not enrolled
LU25189,Fall 2025,Arts & Sciences,Political Science,0,1,1,0,3.4,16,16,2.66,,70,0,2.03,2.34,1,Sophomore
LU25190,Fall 2025,Arts & Sciences,Mathematics,1,0,0,0,2.78,16,16,2.71,W,108,1,2.43,2.57,1,Sophomore
LU25191,Fall 2025,Business,Accounting,0,0,0,1,3.2,16,9,1.9,C,61,1,2.08,1.99,1,Freshman
LU25192,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.46,13,13,2.91,C,120,1,2.74,2.83,1,Sophomore
LU25193,Fall 2025,Business,Accounting,0,1,0,0,3.1,13,13,2.94,C,105,0,3.04,2.99,1,Sophomore
LU25194,Fall 2025,Arts & Sciences,Economics,0,0,0,1,3.5,12,12,2.68,C,98,1,2.69,2.68,1,Sophomore
LU25195,Fall 2025,Business,Accounting,0,0,0,0,3.82,12,12,2.96,,87,1,3.09,3.02,1,Sophomore
LU25196,Fall 2025,Arts & Sciences,Biology,1,1,1,0,3.45,14,14,2.58,,68,2,2.06,2.32,1,Sophomore
LU25197,Fall 2025,Arts & Sciences,English,0,1,1,1,3.22,14,7,1.53,,42,2,0.97,1.25,0,Not enrolled
LU25198,Fall 2025,Education,Elementary Education,0,0,1,0,3.44,13,13,3.26,C,129,0,4.0,3.63,1,Sophomore
LU25199,Fall 2025,Engineering,Electrical Engineering,1,0,1,0,2.76,14,14,1.89,F,47,3,2.2,2.04,1,Sophomore
LU25200,Fall 2025,Nursing & Health,Kinesiology,1,0,0,0,2.95,15,15,1.79,D,58,4,1.93,1.86,1,Sophomore
LU25201,Fall 2025,Business,Finance,0,0,1,1,3.2,15,15,2.19,D,87,3,2.49,2.34,1,Sophomore
LU25202,Fall 2025,Business,Management,0,0,0,0,3.57,15,15,3.89,B,86,2,3.59,3.74,1,Sophomore
LU25203,Fall 2025,Arts & Sciences,Political Science,0,0,0,1,3.61,16,16,3.08,,133,2,2.93,3.0,1,Sophomore
LU25204,Fall 2025,Business,Finance,0,0,0,0,3.8,17,17,2.59,B,77,3,2.89,2.74,1,Sophomore
LU25205,Fall 2025,Arts & Sciences,Psychology,0,0,0,0,3.4,16,13,1.87,,47,3,1.9,1.89,1,Sophomore
LU25206,Fall 2025,Nursing & Health,Public Health,0,0,0,1,3.1,14,14,2.74,,75,1,3.08,2.91,1,Sophomore
LU25207,Fall 2025,Undeclared,Undeclared,0,0,0,0,2.93,16,12,2.1,C,114,2,1.85,1.97,1,Sophomore
